gene,expression
ERGIC1,12.641458523245202
CLEC14A,8.428257702825881
PDF,7.306948587055611
B3GAT3,9.493752780309945
B3GAT2,2.8026498632634445
B3GAT1,3.3095590701914332
FAM66E,0.7052734731084773
FAM66C,4.345643299908846
PER1,9.075027438468558
CPPED1,9.187487602552414
OR10A2,0.028945578851412943
UXT,9.719620783956252
CALM2,13.529214494074774
CALM3,12.239076207839565
SPG21,10.984700638103922
CALM1,12.608596262534183
GSDMA,3.2191043755697355
GSDMB,6.402183865086603
GSDMC,4.103929170464909
GSDMD,10.312960802187781
HRH4,1.0712904284412033
UPK1B,0.7425651777575212
DLGAP2,1.6162783956244304
DLGAP3,3.131917775752053
DLGAP1,4.045859525979944
DLGAP4,11.032633637192342
DLGAP5,8.04215587967183
BRDT,1.38876517775752
HRH2,3.765323609845033
MBNL2,10.226494439380135
MBNL3,4.949967092069281
PLK3,8.14137757520511
A1BG,7.134563081130364
TTC8,9.07236836827711
PLK2,10.914560528714677
ZNF720,8.500158705560626
OIP5,6.1337326344576155
CLCN3,10.364030902461243
CLCN2,7.114595989061079
CLCN1,1.5072805834092995
HRH1,7.091178395624436
CLCN7,10.87307839562444
CLCN6,8.228616226071102
CLCN5,7.572385232452149
CLCN4,6.087598723792158
FBXL19,9.159232725615297
BRD8,10.126594712853253
BRD9,9.469120145852303
PCDHGA1,3.433320783956244
FBXL18,8.592010574293516
BRD4,10.732840474020062
BRD7,10.106094530537836
BRD1,9.716770829535102
BRD2,12.443757338195056
BRD3,10.221132725615325
DNAJA2,10.593011212397448
DNAJA3,10.532089061075666
DNAJA1,11.849394895168658
TGFBR3,9.087940382862351
DNAJA4,10.39101631722882
GLG1,11.841892980856889
LOC643387,5.412137648131273
PTPN12,10.97920118505012
PTPN11,11.436277848678202
LOC84931,0.2628542388331814
LOC100192379,0.13357010027347316
LOC100192378,2.505079398359163
MYCBP,9.83473527803099
PTPN14,7.365027711941658
GALR3,0.21915979945305372
GALR2,0.7885958979033734
GALR1,0.36607338195077477
SETD1B,9.923549589790333
LYAR,8.078084685505935
PCDH20,4.11500820419326
C8orf30A,9.70884740200547
CH25H,5.155734731084777
C16orf74,6.448657702825878
C16orf75,8.10338286235187
MRPL27,9.650543573381956
CSF2RA,6.912586873290807
DMD,7.392431449407478
C16orf71,5.060067730173195
C16orf72,10.385283865086592
C16orf73,0.7870913400182309
GAB4,0.1560494986326345
LRFN4,8.522477666362807
C16orf78,0.01977657247037375
C16orf79,4.12754557885141
GAB1,9.457332269826795
C2orf81,6.728416773017316
C2orf80,0.05513536918869644
C2orf83,0.029352415679124888
C2orf82,2.2111958979033717
C2orf85,0.7385122151321792
C2orf84,1.5686752051048312
HABP2,2.498790884229719
C2orf86,6.2045458523245225
C2orf89,4.081928076572477
C2orf88,5.238709115770287
FLJ46361,0.02566298997265268
NDRG3,10.243243208751124
NDRG4,6.5578330902461195
TBC1D9,12.347596991795802
ZSCAN2,8.145953418413852
PRAP1,0.4153352780309935
CHD1L,9.721007839562445
HOXA6,2.0924191431175903
HOXA5,4.346310300820427
SNORD38A,0.0
DNAJB13,1.2785033728350066
DNAJB12,10.32997629899728
DNAJB11,10.433086508659995
HOXA4,4.532194530537825
HLA-DQB1,10.59885141294439
MSMB,4.354280401093902
UPF0639,3.5306886052871467
DNAJB14,8.28164020054695
RNF138,8.970191886964448
HOXA3,5.011635916134907
ENOSF1,8.754612397447586
HOXA2,2.7299503190519605
CISD2,9.220199179580675
CISD3,9.812002643573374
CISD1,8.375251595259801
CLNS1A,10.825651321786703
HOXA1,3.8779637192342693
FLJ44635,4.0202924339106625
R3HDML,0.4647245214220602
TSHZ2,5.9908332725615185
TSHZ3,7.926438924339103
EIF4E1B,0.9936257064721966
MRC2,11.248863810391969
FOXS1,5.7343837739289025
PABPC1P2,0.46425022789425696
ZNF581,8.567654512306301
IGLL1,0.2871488605287147
MCOLN1,8.84856444849591
ZNF582,5.419356973564265
TIPARP,9.48290355515041
ZNF584,7.4668577028258865
ZNF587,10.16233190519597
HAPLN4,2.654148404740199
ZNF589,8.12114767547858
U2AF2,11.61462288058342
THSD1,6.589735369188698
SGK494,5.410626435733827
TMEM115,10.116497447584328
ZFP161,8.558020783956248
RELA,10.994837830446668
?|26823,0.5018101185050142
LPAR6,9.092157247037376
LSM12,10.117856517775769
PSD,5.26958924339107
UXS1,9.434330446672737
CAMKK2,10.578085779398368
CAMKK1,7.7104806745670045
P2RX2,1.6687701002734732
HOXA9,5.037330446672741
LOC84856,3.8581694621695566
OR8U1,0.006896353691886964
LPAR5,6.72401148587056
ZP3,7.56282871467639
LOC441046,3.2777213309024598
ZP2,0.5277206927985412
TMEM123,12.300485688240665
